Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[CYANO]	GO:0042026	protein refolding	BIOLOGICAL_PROCESS	0.594584896420031	0.023955661286275583	3	27	231	10971	TRINITY_DN56260_c0_g6_i1;TRINITY_DN51837_c0_g1_i12;TRINITY_DN48747_c1_g3_i1
[CYANO]	GO:0003677	DNA binding	MOLECULAR_FUNCTION	0.5947787559243112	0.024232724324666367	13	324	221	10674	TRINITY_DN57526_c1_g1_i1;TRINITY_DN54772_c0_g2_i1;TRINITY_DN50603_c0_g1_i5;TRINITY_DN57631_c0_g1_i6;TRINITY_DN57631_c0_g3_i1;TRINITY_DN47248_c0_g1_i14;TRINITY_DN57631_c0_g2_i1;TRINITY_DN57509_c0_g2_i1;TRINITY_DN46253_c1_g2_i3;TRINITY_DN46438_c2_g3_i2;TRINITY_DN51610_c1_g3_i2;TRINITY_DN46438_c2_g2_i3;TRINITY_DN48923_c1_g4_i1
[CYANO]	GO:0022853	active ion transmembrane transporter activity	MOLECULAR_FUNCTION	0.7755566796695075	0.03335350138913681	2	12	232	10986	TRINITY_DN57795_c2_g2_i1;TRINITY_DN47780_c1_g2_i1
[CYANO]	GO:0045893	positive regulation of transcription, DNA-templated	BIOLOGICAL_PROCESS	0.8206028071793567	0.041234455227210774	1	1	233	10997	TRINITY_DN3953_c0_g1_i1
[CYANO]	GO:0006212	uracil catabolic process	BIOLOGICAL_PROCESS	0.8206028071793567	0.041234455227210774	1	1	233	10997	TRINITY_DN51007_c0_g1_i3
[CYANO]	GO:0003688	DNA replication origin binding	MOLECULAR_FUNCTION	0.8206028071793567	0.041234455227210774	1	1	233	10997	TRINITY_DN57526_c1_g1_i1
[CYANO]	GO:0005524	ATP binding	MOLECULAR_FUNCTION	0.8206028071793567	0.037632477854614176	14	382	220	10616	TRINITY_DN48747_c1_g3_i1;TRINITY_DN57526_c1_g1_i1;TRINITY_DN53432_c0_g2_i3;TRINITY_DN56260_c0_g6_i1;TRINITY_DN49661_c1_g6_i1;TRINITY_DN58542_c0_g1_i1;TRINITY_DN49925_c1_g2_i3;TRINITY_DN49661_c1_g4_i1;TRINITY_DN46253_c1_g2_i3;TRINITY_DN45497_c0_g5_i1;TRINITY_DN47651_c3_g2_i7;TRINITY_DN48756_c0_g3_i1;TRINITY_DN51837_c0_g1_i12;TRINITY_DN54448_c0_g3_i1
[CHLORO]	GO:0030245	cellulose catabolic process	BIOLOGICAL_PROCESS	1.0	0.025730056979197988	1	0	288	10943	TRINITY_DN29122_c0_g1_i1
[CHLORO]	GO:0030638	polyketide metabolic process	BIOLOGICAL_PROCESS	1.0	0.025730056979197988	1	0	288	10943	TRINITY_DN9632_c0_g1_i2
[CHLORO]	GO:0008080	N-acetyltransferase activity	MOLECULAR_FUNCTION	1.0	0.004971167934720656	3	11	286	10932	TRINITY_DN44182_c0_g1_i1;TRINITY_DN42099_c0_g1_i9;TRINITY_DN47863_c0_g2_i1
[CHLORO]	GO:0008422	beta-glucosidase activity	MOLECULAR_FUNCTION	1.0	0.025730056979197988	1	0	288	10943	TRINITY_DN29122_c0_g1_i1
[CHLORO]	GO:0035731	dinitrosyl-iron complex binding	MOLECULAR_FUNCTION	1.0	0.025730056979197988	1	0	288	10943	TRINITY_DN43963_c0_g1_i3
[CHLORO]	GO:0050421	nitrite reductase (NO-forming) activity	MOLECULAR_FUNCTION	1.0	0.025730056979197988	1	0	288	10943	TRINITY_DN58274_c1_g2_i1
[CHLORO]	GO:0102483	scopolin beta-glucosidase activity	MOLECULAR_FUNCTION	1.0	0.025730056979197988	1	0	288	10943	TRINITY_DN29122_c0_g1_i1
